Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Ishøj	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-ishoej/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Karlslunde	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-karlslunde/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS København K	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-koebenhavn-k/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS København N	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-koebenhavn-n/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS København V	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-koebenhavn-v/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Taastrup	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-taastrup/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Tune	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-tune/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Vallensbæk	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-vallensbaek/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Vallensbæk Strand	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-vallensbaek-strand/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe																																																		https://johnsvvs.dk/albertslund/		Responsive search ad	VVS Albertslund	 -	Johns VVS	 -	VVSeren er landet	 -	Hvad er vvs	 -	Hvem er john	 -	Lad os VVS den	 -																			vi er succesfulde	 -	Bedsete vvs firma i byen er her	 -	Lad mig se vhad du kan	 -	Hvem er du hvem er jeg	 -			Enabled	Enabled	Enabled	Pending review	Pending	
GEO V2: VVS - 17 byer																																																													2208	Danmark	7920000																																																									Enabled		Enabled			
